2026-07-02 13:37:41 | INFO     | ETL | Started: extract_sales
2026-07-02 13:37:51 | INFO     | ETL | All dimension tables built.
2026-07-02 13:37:51 | INFO     | ETL | Building fact tables...
2026-07-02 13:37:51 | INFO     | ETL | Started: build_fact_sales
2026-07-02 13:37:51 | INFO     | ETL | Building FACT_Sales...
2026-07-02 13:37:51 | INFO     | ETL | FACT_Sales created (80238 rows).
2026-07-02 13:37:51 | INFO     | ETL | Finished: build_fact_sales (0.34 sec)
2026-07-02 13:37:51 | INFO     | ETL | Started: build_fact_forecast
2026-07-02 13:37:51 | INFO     | ETL | Building FACT_Forecast...
2026-07-02 13:37:51 | INFO     | ETL | FACT_Forecast created (33 rows).
2026-07-02 13:37:51 | INFO     | ETL | Finished: build_fact_forecast (0.02 sec)
2026-07-02 13:37:51 | INFO     | ETL | Fact tables created successfully.
2026-07-02 13:37:51 | INFO     | ETL | Started: save_dimensions
2026-07-02 13:37:51 | INFO     | ETL | Saving dimension tables...
2026-07-02 13:37:51 | INFO     | ETL | Saved DIM_Product.csv (2495 rows).
2026-07-02 13:37:51 | INFO     | ETL | Saved DIM_Customer.csv (8868 rows).
2026-07-02 13:37:51 | INFO     | ETL | Saved DIM_Date.csv (731 rows).
2026-07-02 13:37:51 | INFO     | ETL | Saved DIM_Geography.csv (306 rows).
2026-07-02 13:37:51 | INFO     | ETL | Saved DIM_Brand.csv (11 rows).
2026-07-02 13:37:51 | INFO     | ETL | Dimension tables saved.
2026-07-02 13:37:51 | INFO     | ETL | Finished: save_dimensions (0.09 sec)
2026-07-02 13:37:51 | INFO     | ETL | Started: save_facts
2026-07-02 13:37:51 | INFO     | ETL | Saving fact tables...
2026-07-02 13:37:51 | INFO     | ETL | Saved FACT_Sales.csv (80238 rows).
2026-07-02 13:37:51 | INFO     | ETL | Saved FACT_Forecast.csv (33 rows).
2026-07-02 13:37:51 | INFO     | ETL | Fact tables saved.
2026-07-02 13:37:51 | INFO     | ETL | Finished: save_facts (0.24 sec)
